session.code,participant.code,participant.scenario,participant.scenario_order,participant.training_attempt,participant.anticonformist,participant.own_faction,participant.other_faction,participant.all_responses,participant.label,participant.discussion_grp,participant.group_size,participant.single_group,participant.is_group_single,participant.complete_presurvey,participant.eligible_notneutral,participant.wait_page_arrival,participant.forced_response_counter,presurvey.1.player.gives_consent,presurvey.1.player.age,presurvey.1.player.gender,presurvey.1.player.education_lvl,presurvey.1.player.neighborhood_type,mock.1.group.beta_50,mock.1.group.anti_prop,round_no,response,political_charge,emotional_charge,scenario_code,old_response,new_response,forced_response,discussion_grp
e1314ij0,e7yqt270,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,1,"['yhb6j30f', 'yogts1y3', 'fd57dx7c']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},6723a12849796982b39f3c28,"['k3uyxkex', 'fd57dx7c', 'yhb6j30f']",N08,0,0.0,1,1,1754604452.0795462,0,1.0,23.0,Woman,University degree or more,Urban,1.0,p25,1,1.0,2.0,3.0,s2_n,,,,
e1314ij0,k3uyxkex,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,0,"['5hpzljkv', 'xqv346fl', '9nom3o3o']","['e7yqt270', 'yhb6j30f', 'yogts1y3', 'fd57dx7c']",{'s2_n': -1},662945728093113a43ab8077,"['yhb6j30f', '9nom3o3o', 'xqv346fl']",N08,0,0.0,1,1,1754604622.362748,0,1.0,49.0,Woman,High school diploma or equivalent,Suburban,1.0,p25,1,-1.0,2.0,4.0,s2_n,,,,
e1314ij0,5hpzljkv,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,1,"['k3uyxkex', 'xqv346fl', '9nom3o3o']","['e7yqt270', 'yhb6j30f', 'yogts1y3', 'fd57dx7c']",{'s2_n': -1},663a94c4f1f80e7c9c8a2d19,"['e7yqt270', 'k3uyxkex', '9nom3o3o']",N08,0,0.0,1,1,1754604588.0655794,0,1.0,32.0,Woman,University degree or more,Urban,1.0,p25,1,-1.0,3.0,4.0,s2_n,,,,
e1314ij0,xqv346fl,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",2,0,"['k3uyxkex', '5hpzljkv', '9nom3o3o']","['e7yqt270', 'yhb6j30f', 'yogts1y3', 'fd57dx7c']",{'s2_n': -1},5c747b0f181ad300113363ed,"['yhb6j30f', 'yogts1y3', '5hpzljkv']",N08,0,0.0,1,1,1754605016.723339,0,1.0,31.0,Man,University degree or more,Suburban,1.0,p25,1,-1.0,4.0,4.0,s2_n,,,,
e1314ij0,9nom3o3o,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,0,"['k3uyxkex', '5hpzljkv', 'xqv346fl']","['e7yqt270', 'yhb6j30f', 'yogts1y3', 'fd57dx7c']",{'s2_n': -1},64275e53f51a5ed4f6b7d019,"['yogts1y3', '5hpzljkv', 'xqv346fl']",N08,0,0.0,1,1,1754604855.8303237,0,1.0,42.0,Man,University degree or more,Urban,1.0,p25,1,-1.0,1.0,1.0,s2_n,,,,
e1314ij0,yhb6j30f,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,0,"['e7yqt270', 'yogts1y3', 'fd57dx7c']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},610008383c0a128712403745,"['xqv346fl', 'k3uyxkex', '9nom3o3o']",N08,0,0.0,1,1,1754605217.651011,0,1.0,47.0,Woman,University degree or more,Suburban,1.0,p25,1,1.0,4.0,5.0,s2_n,,,,
e1314ij0,yogts1y3,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,0,"['e7yqt270', 'yhb6j30f', 'fd57dx7c']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},675cf75e3c237ff931f4a43e,"['9nom3o3o', 'k3uyxkex', 'yhb6j30f']",N08,0,0.0,1,1,1754605003.0443606,0,1.0,59.0,Woman,University degree or more,Suburban,1.0,p25,1,1.0,1.0,1.0,s2_n,,,,
e1314ij0,fd57dx7c,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,0,"['e7yqt270', 'yhb6j30f', 'yogts1y3']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},663d8f0edfd87b4c1f590b99,"['9nom3o3o', 'k3uyxkex', 'e7yqt270']",N08,0,0.0,1,1,1754605130.303607,0,1.0,30.0,Man,University degree or more,Suburban,1.0,p25,1,1.0,3.0,3.0,s2_n,,,,
e1314ij0,e7yqt270,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,1,"['yhb6j30f', 'yogts1y3', 'fd57dx7c']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},6723a12849796982b39f3c28,"['k3uyxkex', 'fd57dx7c', 'yhb6j30f']",N08,0,0.0,1,1,1754604452.0795462,0,1.0,23.0,Woman,University degree or more,Urban,1.0,p25,1,,,,,1.0,0.0,0.0,"['9nom3o3o', 'yogts1y3', 'fd57dx7c']"
e1314ij0,e7yqt270,s2_n,"[{'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_n', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'non-political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and even help them to move in. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}, {'Topic': 'Immigrants', 'Scenario_no': '1b', 'code': 's2_p', 'Title': 'The New Family in the Neighborhood', 'PoliticalFrame': 'political', 'Text': ""A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them move in. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to help them move."", 'Against': 'Interview the family first', 'Neutral': 'Let the family move in', 'For': 'Provide help with moving in'}]",3,1,"['yhb6j30f', 'yogts1y3', 'fd57dx7c']","['k3uyxkex', '5hpzljkv', 'xqv346fl', '9nom3o3o']",{'s2_n': 1},6723a12849796982b39f3c28,"['k3uyxkex', 'fd57dx7c', 'yhb6j30f']",N08,0,0.0,1,1,1754604452.0795462,0,1.0,23.0,Woman,University degree or more,Urban,1.0,p25,2,,,,,0.0,0.0,0.0,"['yhb6j30f', 'yogts1y3', 'fd57dx7c']"
