session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
19yrypoq,1,cb5n08v6,0,,InitializeParticipant,1755896428,1,0,0
19yrypoq,2,4gam1eus,0,,InitializeParticipant,1755896507,1,0,0
19yrypoq,3,zf30es4f,0,,InitializeParticipant,1755896537,1,0,0
19yrypoq,4,cgutamp4,0,,InitializeParticipant,1755896556,1,0,0
19yrypoq,2,4gam1eus,1,presurvey,Introduction,1755896556,1,0,0
19yrypoq,5,lgsfeau8,0,,InitializeParticipant,1755896556,1,0,0
19yrypoq,6,okdapvou,0,,InitializeParticipant,1755896560,1,0,0
19yrypoq,2,4gam1eus,2,presurvey,Demographics,1755896561,1,0,0
19yrypoq,7,lfvgablp,0,,InitializeParticipant,1755896564,1,0,0
19yrypoq,3,zf30es4f,1,presurvey,Introduction,1755896573,1,0,0
19yrypoq,2,4gam1eus,3,presurvey,NeighborhoodInstruction,1755896574,1,0,0
19yrypoq,4,cgutamp4,1,presurvey,Introduction,1755896576,1,0,0
19yrypoq,8,u0oh5ww3,0,,InitializeParticipant,1755896581,1,0,0
19yrypoq,3,zf30es4f,2,presurvey,Demographics,1755896583,1,0,0
19yrypoq,4,cgutamp4,2,presurvey,Demographics,1755896585,1,0,0
19yrypoq,2,4gam1eus,4,presurvey,Training,1755896588,1,0,0
19yrypoq,5,lgsfeau8,1,presurvey,Introduction,1755896588,1,0,0
19yrypoq,5,lgsfeau8,2,presurvey,Demographics,1755896598,1,0,0
19yrypoq,3,zf30es4f,3,presurvey,NeighborhoodInstruction,1755896601,1,0,0
19yrypoq,2,4gam1eus,5,presurvey,TrainingNeighbor_1,1755896605,1,0,0
19yrypoq,9,einde06b,0,,InitializeParticipant,1755896608,1,0,0
19yrypoq,8,u0oh5ww3,1,presurvey,Introduction,1755896608,1,0,0
19yrypoq,10,yq4qrgcq,0,,InitializeParticipant,1755896616,1,0,0
19yrypoq,2,4gam1eus,6,presurvey,TrainingNeighbor_2,1755896617,1,0,0
19yrypoq,4,cgutamp4,3,presurvey,NeighborhoodInstruction,1755896618,1,0,0
19yrypoq,8,u0oh5ww3,2,presurvey,Demographics,1755896619,1,0,0
19yrypoq,2,4gam1eus,9,presurvey,ExperimentInstruction,1755896628,1,0,0
19yrypoq,3,zf30es4f,4,presurvey,Training,1755896629,1,0,0
19yrypoq,9,einde06b,1,presurvey,Introduction,1755896634,1,0,0
19yrypoq,5,lgsfeau8,3,presurvey,NeighborhoodInstruction,1755896635,1,0,0
19yrypoq,8,u0oh5ww3,3,presurvey,NeighborhoodInstruction,1755896635,1,0,0
19yrypoq,9,einde06b,2,presurvey,Demographics,1755896646,1,0,0
19yrypoq,2,4gam1eus,10,presurvey,Scenario,1755896653,1,0,0
19yrypoq,8,u0oh5ww3,4,presurvey,Training,1755896658,1,0,0
19yrypoq,4,cgutamp4,4,presurvey,Training,1755896660,1,0,0
19yrypoq,5,lgsfeau8,4,presurvey,Training,1755896669,1,0,0
19yrypoq,3,zf30es4f,5,presurvey,TrainingNeighbor_1,1755896672,1,0,0
19yrypoq,11,fuvncn2j,0,,InitializeParticipant,1755896675,1,0,0
19yrypoq,12,vs4aa1qb,0,,InitializeParticipant,1755896676,1,0,0
19yrypoq,11,fuvncn2j,1,presurvey,Introduction,1755896678,1,0,0
19yrypoq,12,vs4aa1qb,1,presurvey,Introduction,1755896680,1,0,0
19yrypoq,3,zf30es4f,6,presurvey,TrainingNeighbor_2,1755896682,1,0,0
19yrypoq,13,gziusm0q,0,,InitializeParticipant,1755896682,1,0,0
19yrypoq,9,einde06b,3,presurvey,NeighborhoodInstruction,1755896684,1,0,0
19yrypoq,13,gziusm0q,1,presurvey,Introduction,1755896687,1,0,0
19yrypoq,12,vs4aa1qb,2,presurvey,Demographics,1755896687,1,0,0
19yrypoq,11,fuvncn2j,2,presurvey,Demographics,1755896688,1,0,0
19yrypoq,8,u0oh5ww3,5,presurvey,TrainingNeighbor_1,1755896688,1,0,0
19yrypoq,3,zf30es4f,9,presurvey,ExperimentInstruction,1755896690,1,0,0
19yrypoq,13,gziusm0q,2,presurvey,Demographics,1755896694,1,0,0
19yrypoq,11,fuvncn2j,3,presurvey,NeighborhoodInstruction,1755896698,1,0,0
19yrypoq,8,u0oh5ww3,6,presurvey,TrainingNeighbor_2,1755896700,1,0,0
19yrypoq,5,lgsfeau8,5,presurvey,TrainingNeighbor_1,1755896702,1,0,0
19yrypoq,4,cgutamp4,5,presurvey,TrainingNeighbor_1,1755896702,1,0,0
19yrypoq,4,cgutamp4,6,presurvey,TrainingNeighbor_2,1755896711,1,0,0
19yrypoq,8,u0oh5ww3,7,presurvey,AttentionCheck,1755896711,1,0,0
19yrypoq,12,vs4aa1qb,3,presurvey,NeighborhoodInstruction,1755896717,1,0,0
19yrypoq,11,fuvncn2j,4,presurvey,Training,1755896719,1,0,0
19yrypoq,3,zf30es4f,10,presurvey,Scenario,1755896719,1,0,0
19yrypoq,4,cgutamp4,7,presurvey,AttentionCheck,1755896722,1,0,0
19yrypoq,9,einde06b,4,presurvey,Training,1755896728,1,0,0
19yrypoq,5,lgsfeau8,9,presurvey,ExperimentInstruction,1755896728,1,0,0
19yrypoq,11,fuvncn2j,5,presurvey,TrainingNeighbor_1,1755896729,1,0,0
19yrypoq,8,u0oh5ww3,8,presurvey,TrainingNeighbor_3,1755896731,1,0,0
19yrypoq,4,cgutamp4,8,presurvey,TrainingNeighbor_3,1755896732,1,0,0
19yrypoq,8,u0oh5ww3,9,presurvey,ExperimentInstruction,1755896736,1,0,0
19yrypoq,3,zf30es4f,11,presurvey,Commitment,1755896738,1,0,0
19yrypoq,13,gziusm0q,3,presurvey,NeighborhoodInstruction,1755896741,1,0,0
19yrypoq,12,vs4aa1qb,4,presurvey,Training,1755896743,1,0,0
19yrypoq,11,fuvncn2j,6,presurvey,TrainingNeighbor_2,1755896752,1,0,0
19yrypoq,11,fuvncn2j,7,presurvey,AttentionCheck,1755896760,1,0,0
19yrypoq,8,u0oh5ww3,10,presurvey,Scenario,1755896761,1,0,0
19yrypoq,11,fuvncn2j,8,presurvey,TrainingNeighbor_3,1755896771,1,0,0
19yrypoq,12,vs4aa1qb,5,presurvey,TrainingNeighbor_1,1755896772,1,0,0
19yrypoq,8,u0oh5ww3,11,presurvey,Commitment,1755896775,1,0,0
19yrypoq,11,fuvncn2j,9,presurvey,ExperimentInstruction,1755896778,1,0,0
19yrypoq,12,vs4aa1qb,9,presurvey,ExperimentInstruction,1755896782,1,0,0
19yrypoq,5,lgsfeau8,10,presurvey,Scenario,1755896787,1,0,0
19yrypoq,9,einde06b,5,presurvey,TrainingNeighbor_1,1755896791,1,0,0
19yrypoq,14,lzhi3c86,0,,InitializeParticipant,1755896793,1,0,0
19yrypoq,11,fuvncn2j,10,presurvey,Scenario,1755896794,1,0,0
19yrypoq,14,lzhi3c86,1,presurvey,Introduction,1755896797,1,0,0
19yrypoq,15,w2j0qzso,0,,InitializeParticipant,1755896801,1,0,0
19yrypoq,14,lzhi3c86,2,presurvey,Demographics,1755896805,1,0,0
19yrypoq,9,einde06b,9,presurvey,ExperimentInstruction,1755896810,1,0,0
19yrypoq,6,okdapvou,1,presurvey,Introduction,1755896812,1,0,0
19yrypoq,11,fuvncn2j,11,presurvey,Commitment,1755896816,1,0,0
19yrypoq,12,vs4aa1qb,10,presurvey,Scenario,1755896820,1,0,0
19yrypoq,6,okdapvou,2,presurvey,Demographics,1755896821,1,0,0
19yrypoq,14,lzhi3c86,3,presurvey,NeighborhoodInstruction,1755896821,1,0,0
19yrypoq,5,lgsfeau8,11,presurvey,Commitment,1755896832,1,0,0
19yrypoq,6,okdapvou,3,presurvey,NeighborhoodInstruction,1755896838,1,0,0
19yrypoq,14,lzhi3c86,4,presurvey,Training,1755896842,1,0,0
19yrypoq,6,okdapvou,4,presurvey,Training,1755896861,1,0,0
19yrypoq,14,lzhi3c86,5,presurvey,TrainingNeighbor_1,1755896862,1,0,0
19yrypoq,9,einde06b,10,presurvey,Scenario,1755896868,1,0,0
19yrypoq,14,lzhi3c86,9,presurvey,ExperimentInstruction,1755896869,1,0,0
19yrypoq,6,okdapvou,5,presurvey,TrainingNeighbor_1,1755896885,1,0,0
19yrypoq,6,okdapvou,9,presurvey,ExperimentInstruction,1755896889,1,0,0
19yrypoq,16,nb7dqt3b,0,,InitializeParticipant,1755896894,1,0,0
19yrypoq,14,lzhi3c86,10,presurvey,Scenario,1755896895,1,0,0
19yrypoq,6,okdapvou,10,presurvey,Scenario,1755896919,1,0,0
19yrypoq,17,ql30mmne,0,,InitializeParticipant,1755896923,1,0,0
19yrypoq,16,nb7dqt3b,1,presurvey,Introduction,1755896944,1,0,0
19yrypoq,17,ql30mmne,1,presurvey,Introduction,1755896948,1,0,0
19yrypoq,17,ql30mmne,2,presurvey,Demographics,1755896956,1,0,0
19yrypoq,6,okdapvou,11,presurvey,Commitment,1755896957,1,0,0
19yrypoq,18,959hu15x,0,,InitializeParticipant,1755896964,1,0,0
19yrypoq,16,nb7dqt3b,2,presurvey,Demographics,1755896969,1,0,0
19yrypoq,17,ql30mmne,3,presurvey,NeighborhoodInstruction,1755896974,1,0,0
19yrypoq,17,ql30mmne,4,presurvey,Training,1755896996,1,0,0
19yrypoq,15,w2j0qzso,1,presurvey,Introduction,1755897004,1,0,0
19yrypoq,15,w2j0qzso,2,presurvey,Demographics,1755897012,1,0,0
19yrypoq,18,959hu15x,1,presurvey,Introduction,1755897017,1,0,0
19yrypoq,17,ql30mmne,5,presurvey,TrainingNeighbor_1,1755897028,1,0,0
19yrypoq,18,959hu15x,2,presurvey,Demographics,1755897029,1,0,0
