session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
1wvuc36i,1,vqhz63z6,0,,InitializeParticipant,1755700772,1,0,0
1wvuc36i,2,sltqifga,0,,InitializeParticipant,1755713117,1,0,0
1wvuc36i,3,bmkwa1de,0,,InitializeParticipant,1755713120,1,0,0
1wvuc36i,4,2wkcyl3s,0,,InitializeParticipant,1755713122,1,0,0
1wvuc36i,5,ylejmocc,0,,InitializeParticipant,1755713126,1,0,0
1wvuc36i,3,bmkwa1de,1,presurvey,Introduction,1755713127,1,0,0
1wvuc36i,3,bmkwa1de,2,presurvey,Demographics,1755713134,1,0,0
1wvuc36i,6,9k9en5n8,0,,InitializeParticipant,1755713135,1,0,0
1wvuc36i,4,2wkcyl3s,1,presurvey,Introduction,1755713139,1,0,0
1wvuc36i,4,2wkcyl3s,2,presurvey,Demographics,1755713149,1,0,0
1wvuc36i,3,bmkwa1de,3,presurvey,NeighborhoodInstruction,1755713150,1,0,0
1wvuc36i,6,9k9en5n8,1,presurvey,Introduction,1755713152,1,0,0
1wvuc36i,7,gxgty4ci,0,,InitializeParticipant,1755713153,1,0,0
1wvuc36i,8,2tg2s22l,0,,InitializeParticipant,1755713164,1,0,0
1wvuc36i,3,bmkwa1de,4,presurvey,Training,1755713165,1,0,0
1wvuc36i,8,2tg2s22l,1,presurvey,Introduction,1755713171,1,0,0
1wvuc36i,6,9k9en5n8,2,presurvey,Demographics,1755713172,1,0,0
1wvuc36i,4,2wkcyl3s,3,presurvey,NeighborhoodInstruction,1755713175,1,0,0
1wvuc36i,8,2tg2s22l,2,presurvey,Demographics,1755713177,1,0,0
1wvuc36i,3,bmkwa1de,5,presurvey,TrainingNeighbor_1,1755713188,1,0,0
1wvuc36i,7,gxgty4ci,1,presurvey,Introduction,1755713188,1,0,0
1wvuc36i,4,2wkcyl3s,4,presurvey,Training,1755713188,1,0,0
1wvuc36i,3,bmkwa1de,9,presurvey,ExperimentInstruction,1755713191,1,0,0
1wvuc36i,7,gxgty4ci,2,presurvey,Demographics,1755713201,1,0,0
1wvuc36i,3,bmkwa1de,10,presurvey,Scenario,1755713210,1,0,0
1wvuc36i,7,gxgty4ci,3,presurvey,NeighborhoodInstruction,1755713217,1,0,0
1wvuc36i,3,bmkwa1de,11,presurvey,Commitment,1755713220,1,0,0
1wvuc36i,4,2wkcyl3s,5,presurvey,TrainingNeighbor_1,1755713226,1,0,0
1wvuc36i,6,9k9en5n8,3,presurvey,NeighborhoodInstruction,1755713231,1,0,0
1wvuc36i,4,2wkcyl3s,9,presurvey,ExperimentInstruction,1755713233,1,0,0
1wvuc36i,9,e57h861f,0,,InitializeParticipant,1755713238,1,0,0
1wvuc36i,9,e57h861f,1,presurvey,Introduction,1755713241,1,0,0
1wvuc36i,10,udg6lfsa,0,,InitializeParticipant,1755713242,1,0,0
1wvuc36i,7,gxgty4ci,4,presurvey,Training,1755713244,1,0,0
1wvuc36i,9,e57h861f,2,presurvey,Demographics,1755713250,1,0,0
1wvuc36i,4,2wkcyl3s,10,presurvey,Scenario,1755713268,1,0,0
1wvuc36i,4,2wkcyl3s,11,presurvey,Commitment,1755713284,1,0,0
1wvuc36i,7,gxgty4ci,5,presurvey,TrainingNeighbor_1,1755713289,1,0,0
1wvuc36i,8,2tg2s22l,3,presurvey,NeighborhoodInstruction,1755713291,1,0,0
1wvuc36i,7,gxgty4ci,9,presurvey,ExperimentInstruction,1755713298,1,0,0
1wvuc36i,11,j6jhxcw9,0,,InitializeParticipant,1755713305,1,0,0
1wvuc36i,8,2tg2s22l,4,presurvey,Training,1755713306,1,0,0
1wvuc36i,6,9k9en5n8,4,presurvey,Training,1755713317,1,0,0
1wvuc36i,8,2tg2s22l,5,presurvey,TrainingNeighbor_1,1755713322,1,0,0
1wvuc36i,7,gxgty4ci,10,presurvey,Scenario,1755713323,1,0,0
1wvuc36i,9,e57h861f,3,presurvey,NeighborhoodInstruction,1755713328,1,0,0
1wvuc36i,8,2tg2s22l,9,presurvey,ExperimentInstruction,1755713329,1,0,0
1wvuc36i,7,gxgty4ci,11,presurvey,Commitment,1755713342,1,0,0
1wvuc36i,9,e57h861f,4,presurvey,Training,1755713345,1,0,0
1wvuc36i,8,2tg2s22l,10,presurvey,Scenario,1755713352,1,0,0
1wvuc36i,8,2tg2s22l,11,presurvey,Commitment,1755713359,1,0,0
1wvuc36i,9,e57h861f,5,presurvey,TrainingNeighbor_1,1755713360,1,0,0
1wvuc36i,6,9k9en5n8,5,presurvey,TrainingNeighbor_1,1755713365,1,0,0
1wvuc36i,12,be4wroyq,0,,InitializeParticipant,1755713365,1,0,0
1wvuc36i,9,e57h861f,6,presurvey,TrainingNeighbor_2,1755713377,1,0,0
1wvuc36i,6,9k9en5n8,9,presurvey,ExperimentInstruction,1755713378,1,0,0
1wvuc36i,13,429rjtb0,0,,InitializeParticipant,1755713383,1,0,0
1wvuc36i,13,429rjtb0,1,presurvey,Introduction,1755713403,1,0,0
1wvuc36i,13,429rjtb0,2,presurvey,Demographics,1755713419,1,0,0
1wvuc36i,6,9k9en5n8,10,presurvey,Scenario,1755713435,1,0,0
1wvuc36i,14,c7jx8qc5,0,,InitializeParticipant,1755713450,1,0,0
1wvuc36i,12,be4wroyq,1,presurvey,Introduction,1755713453,1,0,0
1wvuc36i,12,be4wroyq,2,presurvey,Demographics,1755713467,1,0,0
1wvuc36i,15,0ler272v,0,,InitializeParticipant,1755713482,1,0,0
1wvuc36i,9,e57h861f,9,presurvey,ExperimentInstruction,1755713489,1,0,0
1wvuc36i,15,0ler272v,1,presurvey,Introduction,1755713513,1,0,0
1wvuc36i,12,be4wroyq,3,presurvey,NeighborhoodInstruction,1755713516,1,0,0
1wvuc36i,15,0ler272v,2,presurvey,Demographics,1755713525,1,0,0
1wvuc36i,9,e57h861f,10,presurvey,Scenario,1755713529,1,0,0
