session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
gneiwiau,1,rpt3d9ef,0,,InitializeParticipant,1754408534,1,0,0
gneiwiau,2,xi4zssaa,0,,InitializeParticipant,1754408928,1,0,0
gneiwiau,3,08plw5cf,0,,InitializeParticipant,1754408933,1,0,0
gneiwiau,2,xi4zssaa,1,presurvey,Introduction,1754409002,1,0,0
gneiwiau,2,xi4zssaa,2,presurvey,Demographics,1754409013,1,0,0
gneiwiau,2,xi4zssaa,3,presurvey,NeighborhoodInstruction,1754409054,1,0,0
gneiwiau,4,klu1ieyb,0,,InitializeParticipant,1754409059,1,0,0
gneiwiau,4,klu1ieyb,1,presurvey,Introduction,1754409063,1,0,0
gneiwiau,4,klu1ieyb,2,presurvey,Demographics,1754409070,1,0,0
gneiwiau,5,qnvxmnvy,0,,InitializeParticipant,1754409096,1,0,0
gneiwiau,2,xi4zssaa,4,presurvey,Training,1754409096,1,0,0
gneiwiau,4,klu1ieyb,3,presurvey,NeighborhoodInstruction,1754409115,1,0,0
gneiwiau,4,klu1ieyb,4,presurvey,Training,1754409143,1,0,0
gneiwiau,5,qnvxmnvy,1,presurvey,Introduction,1754409144,1,0,0
gneiwiau,2,xi4zssaa,5,presurvey,TrainingNeighbor_1,1754409147,1,0,0
gneiwiau,5,qnvxmnvy,2,presurvey,Demographics,1754409155,1,0,0
gneiwiau,2,xi4zssaa,9,presurvey,ExperimentInstruction,1754409157,1,0,0
gneiwiau,2,xi4zssaa,10,presurvey,Scenario,1754409193,1,0,0
gneiwiau,4,klu1ieyb,5,presurvey,TrainingNeighbor_1,1754409201,1,0,0
gneiwiau,5,qnvxmnvy,3,presurvey,NeighborhoodInstruction,1754409211,1,0,0
gneiwiau,4,klu1ieyb,6,presurvey,TrainingNeighbor_2,1754409214,1,0,0
gneiwiau,4,klu1ieyb,9,presurvey,ExperimentInstruction,1754409223,1,0,0
gneiwiau,2,xi4zssaa,11,presurvey,Commitment,1754409240,1,0,0
gneiwiau,5,qnvxmnvy,4,presurvey,Training,1754409245,1,0,0
gneiwiau,4,klu1ieyb,10,presurvey,Scenario,1754409252,1,0,0
gneiwiau,6,kt9f90lc,0,,InitializeParticipant,1754409271,1,0,0
gneiwiau,7,u279whz2,0,,InitializeParticipant,1754409280,1,0,0
gneiwiau,5,qnvxmnvy,5,presurvey,TrainingNeighbor_1,1754409281,1,0,0
gneiwiau,6,kt9f90lc,1,presurvey,Introduction,1754409295,1,0,0
gneiwiau,5,qnvxmnvy,9,presurvey,ExperimentInstruction,1754409300,1,0,0
gneiwiau,6,kt9f90lc,2,presurvey,Demographics,1754409304,1,0,0
gneiwiau,8,n8wdaiga,0,,InitializeParticipant,1754409308,1,0,0
gneiwiau,8,n8wdaiga,1,presurvey,Introduction,1754409311,1,0,0
gneiwiau,8,n8wdaiga,2,presurvey,Demographics,1754409316,1,0,0
gneiwiau,8,n8wdaiga,3,presurvey,NeighborhoodInstruction,1754409347,1,0,0
gneiwiau,8,n8wdaiga,4,presurvey,Training,1754409371,1,0,0
gneiwiau,9,l8wrw8yv,0,,InitializeParticipant,1754409371,1,0,0
gneiwiau,6,kt9f90lc,3,presurvey,NeighborhoodInstruction,1754409373,1,0,0
gneiwiau,5,qnvxmnvy,10,presurvey,Scenario,1754409375,1,0,0
gneiwiau,10,gpvw40cs,0,,InitializeParticipant,1754409382,1,0,0
gneiwiau,8,n8wdaiga,5,presurvey,TrainingNeighbor_1,1754409393,1,0,0
gneiwiau,8,n8wdaiga,9,presurvey,ExperimentInstruction,1754409396,1,0,0
gneiwiau,10,gpvw40cs,1,presurvey,Introduction,1754409407,1,0,0
gneiwiau,10,gpvw40cs,2,presurvey,Demographics,1754409418,1,0,0
gneiwiau,6,kt9f90lc,4,presurvey,Training,1754409422,1,0,0
gneiwiau,8,n8wdaiga,10,presurvey,Scenario,1754409424,1,0,0
gneiwiau,9,l8wrw8yv,1,presurvey,Introduction,1754409425,1,0,0
gneiwiau,10,gpvw40cs,3,presurvey,NeighborhoodInstruction,1754409428,1,0,0
gneiwiau,9,l8wrw8yv,2,presurvey,Demographics,1754409440,1,0,0
gneiwiau,6,kt9f90lc,5,presurvey,TrainingNeighbor_1,1754409465,1,0,0
gneiwiau,11,a265rfvh,0,,InitializeParticipant,1754409476,1,0,0
gneiwiau,11,a265rfvh,1,presurvey,Introduction,1754409480,1,0,0
gneiwiau,6,kt9f90lc,9,presurvey,ExperimentInstruction,1754409484,1,0,0
gneiwiau,11,a265rfvh,2,presurvey,Demographics,1754409486,1,0,0
