session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hlacp96q,1,5npfo9gc,0,,InitializeParticipant,1754495734,1,0,0
hlacp96q,2,j53a2bxt,0,,InitializeParticipant,1754499688,1,0,0
hlacp96q,3,ehreyk3k,0,,InitializeParticipant,1754499691,1,0,0
hlacp96q,4,lm1y9wdo,0,,InitializeParticipant,1754499695,1,0,0
hlacp96q,4,lm1y9wdo,1,presurvey,Introduction,1754499699,1,0,0
hlacp96q,5,4oo5xrrs,0,,InitializeParticipant,1754499705,1,0,0
hlacp96q,2,j53a2bxt,1,presurvey,Introduction,1754499706,1,0,0
hlacp96q,4,lm1y9wdo,2,presurvey,Demographics,1754499708,1,0,0
hlacp96q,2,j53a2bxt,2,presurvey,Demographics,1754499714,1,0,0
hlacp96q,6,pt8ph4b2,0,,InitializeParticipant,1754499716,1,0,0
hlacp96q,6,pt8ph4b2,1,presurvey,Introduction,1754499722,1,0,0
hlacp96q,5,4oo5xrrs,1,presurvey,Introduction,1754499728,1,0,0
hlacp96q,4,lm1y9wdo,3,presurvey,NeighborhoodInstruction,1754499738,1,0,0
hlacp96q,5,4oo5xrrs,2,presurvey,Demographics,1754499740,1,0,0
hlacp96q,6,pt8ph4b2,2,presurvey,Demographics,1754499744,1,0,0
hlacp96q,3,ehreyk3k,1,presurvey,Introduction,1754499747,1,0,0
hlacp96q,2,j53a2bxt,3,presurvey,NeighborhoodInstruction,1754499748,1,0,0
hlacp96q,3,ehreyk3k,2,presurvey,Demographics,1754499758,1,0,0
hlacp96q,4,lm1y9wdo,4,presurvey,Training,1754499758,1,0,0
hlacp96q,3,ehreyk3k,3,presurvey,NeighborhoodInstruction,1754499767,1,0,0
hlacp96q,2,j53a2bxt,4,presurvey,Training,1754499768,1,0,0
hlacp96q,4,lm1y9wdo,5,presurvey,TrainingNeighbor_1,1754499775,1,0,0
hlacp96q,3,ehreyk3k,4,presurvey,Training,1754499778,1,0,0
hlacp96q,4,lm1y9wdo,9,presurvey,ExperimentInstruction,1754499781,1,0,0
hlacp96q,2,j53a2bxt,5,presurvey,TrainingNeighbor_1,1754499783,1,0,0
hlacp96q,7,vl2hqemp,0,,InitializeParticipant,1754499790,1,0,0
hlacp96q,6,pt8ph4b2,3,presurvey,NeighborhoodInstruction,1754499791,1,0,0
hlacp96q,2,j53a2bxt,9,presurvey,ExperimentInstruction,1754499793,1,0,0
hlacp96q,7,vl2hqemp,1,presurvey,Introduction,1754499795,1,0,0
hlacp96q,5,4oo5xrrs,3,presurvey,NeighborhoodInstruction,1754499800,1,0,0
hlacp96q,3,ehreyk3k,5,presurvey,TrainingNeighbor_1,1754499804,1,0,0
hlacp96q,7,vl2hqemp,2,presurvey,Demographics,1754499809,1,0,0
hlacp96q,3,ehreyk3k,9,presurvey,ExperimentInstruction,1754499810,1,0,0
hlacp96q,2,j53a2bxt,10,presurvey,Scenario,1754499813,1,0,0
hlacp96q,6,pt8ph4b2,4,presurvey,Training,1754499815,1,0,0
hlacp96q,3,ehreyk3k,10,presurvey,Scenario,1754499826,1,0,0
hlacp96q,4,lm1y9wdo,10,presurvey,Scenario,1754499830,1,0,0
hlacp96q,2,j53a2bxt,11,presurvey,Commitment,1754499833,1,0,0
hlacp96q,7,vl2hqemp,3,presurvey,NeighborhoodInstruction,1754499839,1,0,0
hlacp96q,5,4oo5xrrs,4,presurvey,Training,1754499845,1,0,0
hlacp96q,8,945kbiht,0,,InitializeParticipant,1754499846,1,0,0
hlacp96q,3,ehreyk3k,11,presurvey,Commitment,1754499851,1,0,0
hlacp96q,6,pt8ph4b2,5,presurvey,TrainingNeighbor_1,1754499862,1,0,0
hlacp96q,9,v878cfyz,0,,InitializeParticipant,1754499864,1,0,0
hlacp96q,6,pt8ph4b2,9,presurvey,ExperimentInstruction,1754499866,1,0,0
hlacp96q,10,j2ew97fn,0,,InitializeParticipant,1754499876,1,0,0
hlacp96q,9,v878cfyz,1,presurvey,Introduction,1754499881,1,0,0
hlacp96q,11,irs8uhi3,0,,InitializeParticipant,1754499881,1,0,0
hlacp96q,5,4oo5xrrs,5,presurvey,TrainingNeighbor_1,1754499884,1,0,0
hlacp96q,7,vl2hqemp,4,presurvey,Training,1754499886,1,0,0
hlacp96q,9,v878cfyz,2,presurvey,Demographics,1754499895,1,0,0
hlacp96q,10,j2ew97fn,1,presurvey,Introduction,1754499896,1,0,0
hlacp96q,6,pt8ph4b2,10,presurvey,Scenario,1754499907,1,0,0
hlacp96q,7,vl2hqemp,5,presurvey,TrainingNeighbor_1,1754499908,1,0,0
