session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hlxq88yl,1,6o4bpvom,0,,InitializeParticipant,1754937163,1,0,0
hlxq88yl,1,6o4bpvom,1,presurvey,Introduction,1754937171,1,0,0
hlxq88yl,2,glq07ov0,0,,InitializeParticipant,1754937239,1,0,0
hlxq88yl,2,glq07ov0,1,presurvey,Introduction,1754937245,1,0,0
hlxq88yl,2,glq07ov0,2,presurvey,Demographics,1754937254,1,0,0
hlxq88yl,2,glq07ov0,3,presurvey,NeighborhoodInstruction,1754937287,1,0,0
hlxq88yl,2,glq07ov0,4,presurvey,Training,1754937315,1,0,0
hlxq88yl,2,glq07ov0,5,presurvey,TrainingNeighbor_1,1754937338,1,0,0
hlxq88yl,2,glq07ov0,9,presurvey,ExperimentInstruction,1754937349,1,0,0
hlxq88yl,2,glq07ov0,10,presurvey,Scenario,1754937390,1,0,0
hlxq88yl,3,ahkoth8u,0,,InitializeParticipant,1754937398,1,0,0
hlxq88yl,3,ahkoth8u,1,presurvey,Introduction,1754937406,1,0,0
hlxq88yl,2,glq07ov0,11,presurvey,Commitment,1754937411,1,0,0
hlxq88yl,3,ahkoth8u,2,presurvey,Demographics,1754937416,1,0,0
hlxq88yl,4,u2i7rudi,0,,InitializeParticipant,1754937430,1,0,0
hlxq88yl,3,ahkoth8u,3,presurvey,NeighborhoodInstruction,1754937432,1,0,0
hlxq88yl,3,ahkoth8u,4,presurvey,Training,1754937455,1,0,0
hlxq88yl,4,u2i7rudi,1,presurvey,Introduction,1754937459,1,0,0
hlxq88yl,4,u2i7rudi,2,presurvey,Demographics,1754937466,1,0,0
hlxq88yl,4,u2i7rudi,3,presurvey,NeighborhoodInstruction,1754937476,1,0,0
hlxq88yl,3,ahkoth8u,5,presurvey,TrainingNeighbor_1,1754937483,1,0,0
hlxq88yl,3,ahkoth8u,9,presurvey,ExperimentInstruction,1754937491,1,0,0
hlxq88yl,4,u2i7rudi,4,presurvey,Training,1754937492,1,0,0
hlxq88yl,4,u2i7rudi,5,presurvey,TrainingNeighbor_1,1754937519,1,0,0
hlxq88yl,3,ahkoth8u,10,presurvey,Scenario,1754937521,1,0,0
hlxq88yl,4,u2i7rudi,6,presurvey,TrainingNeighbor_2,1754937531,1,0,0
hlxq88yl,4,u2i7rudi,9,presurvey,ExperimentInstruction,1754937535,1,0,0
hlxq88yl,4,u2i7rudi,10,presurvey,Scenario,1754937562,1,0,0
hlxq88yl,4,u2i7rudi,11,presurvey,Commitment,1754937594,1,0,0
hlxq88yl,5,j7tul9py,0,,InitializeParticipant,1754937627,1,0,0
hlxq88yl,5,j7tul9py,1,presurvey,Introduction,1754937637,1,0,0
hlxq88yl,5,j7tul9py,2,presurvey,Demographics,1754937654,1,0,0
hlxq88yl,6,lf6xwjv9,0,,InitializeParticipant,1754937671,1,0,0
hlxq88yl,7,78kz2x4j,0,,InitializeParticipant,1754937676,1,0,0
hlxq88yl,6,lf6xwjv9,1,presurvey,Introduction,1754937676,1,0,0
hlxq88yl,6,lf6xwjv9,2,presurvey,Demographics,1754937685,1,0,0
hlxq88yl,8,xs3lql70,0,,InitializeParticipant,1754937685,1,0,0
hlxq88yl,8,xs3lql70,1,presurvey,Introduction,1754937689,1,0,0
hlxq88yl,8,xs3lql70,2,presurvey,Demographics,1754937697,1,0,0
hlxq88yl,5,j7tul9py,3,presurvey,NeighborhoodInstruction,1754937712,1,0,0
hlxq88yl,8,xs3lql70,3,presurvey,NeighborhoodInstruction,1754937718,1,0,0
hlxq88yl,6,lf6xwjv9,3,presurvey,NeighborhoodInstruction,1754937722,1,0,0
hlxq88yl,8,xs3lql70,4,presurvey,Training,1754937735,1,0,0
hlxq88yl,5,j7tul9py,4,presurvey,Training,1754937742,1,0,0
hlxq88yl,6,lf6xwjv9,4,presurvey,Training,1754937745,1,0,0
hlxq88yl,9,7hfsqltc,0,,InitializeParticipant,1754937755,1,0,0
hlxq88yl,8,xs3lql70,5,presurvey,TrainingNeighbor_1,1754937756,1,0,0
hlxq88yl,8,xs3lql70,9,presurvey,ExperimentInstruction,1754937762,1,0,0
hlxq88yl,9,7hfsqltc,1,presurvey,Introduction,1754937765,1,0,0
hlxq88yl,6,lf6xwjv9,5,presurvey,TrainingNeighbor_1,1754937770,1,0,0
hlxq88yl,6,lf6xwjv9,6,presurvey,TrainingNeighbor_2,1754937779,1,0,0
hlxq88yl,6,lf6xwjv9,7,presurvey,AttentionCheck,1754937786,1,0,0
hlxq88yl,8,xs3lql70,10,presurvey,Scenario,1754937791,1,0,0
hlxq88yl,5,j7tul9py,5,presurvey,TrainingNeighbor_1,1754937798,1,0,0
hlxq88yl,6,lf6xwjv9,8,presurvey,TrainingNeighbor_3,1754937807,1,0,0
hlxq88yl,5,j7tul9py,6,presurvey,TrainingNeighbor_2,1754937815,1,0,0
hlxq88yl,6,lf6xwjv9,9,presurvey,ExperimentInstruction,1754937817,1,0,0
hlxq88yl,5,j7tul9py,7,presurvey,AttentionCheck,1754937828,1,0,0
hlxq88yl,6,lf6xwjv9,10,presurvey,Scenario,1754937844,1,0,0
hlxq88yl,5,j7tul9py,8,presurvey,TrainingNeighbor_3,1754937870,1,0,0
hlxq88yl,5,j7tul9py,9,presurvey,ExperimentInstruction,1754937882,1,0,0
hlxq88yl,10,uh3o2y1t,0,,InitializeParticipant,1754937886,1,0,0
hlxq88yl,10,uh3o2y1t,1,presurvey,Introduction,1754937891,1,0,0
hlxq88yl,5,j7tul9py,10,presurvey,Scenario,1754937908,1,0,0
hlxq88yl,100,rwjn89u7,0,,InitializeParticipant,1754937923,1,0,0
hlxq88yl,100,rwjn89u7,1,presurvey,Introduction,1754937925,1,0,0
hlxq88yl,5,j7tul9py,11,presurvey,Commitment,1754937948,1,0,0
hlxq88yl,11,uodrlp15,0,,InitializeParticipant,1754938169,1,0,0
hlxq88yl,4,u2i7rudi,12,mock,GroupingWaitPage,1754938495,1,0,1
hlxq88yl,4,u2i7rudi,13,mock,GroupSizeWaitPage,1754938496,1,0,1
hlxq88yl,5,j7tul9py,12,mock,GroupingWaitPage,1754938861,1,0,1
