session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
ks5c9u60,1,93rvy616,0,,InitializeParticipant,1755810242,1,0,0
ks5c9u60,1,93rvy616,1,presurvey,Introduction,1755810257,1,0,0
ks5c9u60,1,93rvy616,2,presurvey,Demographics,1755810269,1,0,0
ks5c9u60,1,93rvy616,3,presurvey,NeighborhoodInstruction,1755810304,1,0,0
ks5c9u60,2,5bof2k5r,0,,InitializeParticipant,1755810316,1,0,0
ks5c9u60,2,5bof2k5r,1,presurvey,Introduction,1755810324,1,0,0
ks5c9u60,1,93rvy616,4,presurvey,Training,1755810331,1,0,0
ks5c9u60,3,pkwcqvbo,0,,InitializeParticipant,1755810367,1,0,0
ks5c9u60,3,pkwcqvbo,1,presurvey,Introduction,1755810374,1,0,0
ks5c9u60,3,pkwcqvbo,2,presurvey,Demographics,1755810380,1,0,0
ks5c9u60,1,93rvy616,5,presurvey,TrainingNeighbor_1,1755810384,1,0,0
ks5c9u60,4,p2by3tat,0,,InitializeParticipant,1755810389,1,0,0
ks5c9u60,3,pkwcqvbo,3,presurvey,NeighborhoodInstruction,1755810395,1,0,0
ks5c9u60,1,93rvy616,6,presurvey,TrainingNeighbor_2,1755810405,1,0,0
ks5c9u60,1,93rvy616,9,presurvey,ExperimentInstruction,1755810410,1,0,0
ks5c9u60,3,pkwcqvbo,4,presurvey,Training,1755810413,1,0,0
ks5c9u60,4,p2by3tat,1,presurvey,Introduction,1755810422,1,0,0
ks5c9u60,3,pkwcqvbo,5,presurvey,TrainingNeighbor_1,1755810438,1,0,0
ks5c9u60,1,93rvy616,10,presurvey,Scenario,1755810443,1,0,0
ks5c9u60,5,urtjviv1,0,,InitializeParticipant,1755810445,1,0,0
ks5c9u60,3,pkwcqvbo,9,presurvey,ExperimentInstruction,1755810446,1,0,0
ks5c9u60,6,3ddohcco,0,,InitializeParticipant,1755810450,1,0,0
ks5c9u60,3,pkwcqvbo,10,presurvey,Scenario,1755810471,1,0,0
ks5c9u60,2,5bof2k5r,2,presurvey,Demographics,1755810484,1,0,0
ks5c9u60,7,dxzsu78b,0,,InitializeParticipant,1755810531,1,0,0
ks5c9u60,8,j7jie53r,0,,InitializeParticipant,1755810560,1,0,0
ks5c9u60,9,bzgr1ypz,0,,InitializeParticipant,1755810561,1,0,0
ks5c9u60,8,j7jie53r,1,presurvey,Introduction,1755810575,1,0,0
ks5c9u60,10,13ii9rrd,0,,InitializeParticipant,1755810579,1,0,0
ks5c9u60,11,mt2k9d2g,0,,InitializeParticipant,1755810583,1,0,0
ks5c9u60,5,urtjviv1,1,presurvey,Introduction,1755810583,1,0,0
ks5c9u60,5,urtjviv1,2,presurvey,Demographics,1755810589,1,0,0
ks5c9u60,7,dxzsu78b,1,presurvey,Introduction,1755810594,1,0,0
ks5c9u60,8,j7jie53r,2,presurvey,Demographics,1755810601,1,0,0
ks5c9u60,12,mkgm9c4a,0,,InitializeParticipant,1755810606,1,0,0
ks5c9u60,7,dxzsu78b,2,presurvey,Demographics,1755810607,1,0,0
ks5c9u60,5,urtjviv1,3,presurvey,NeighborhoodInstruction,1755810607,1,0,0
ks5c9u60,10,13ii9rrd,1,presurvey,Introduction,1755810613,1,0,0
ks5c9u60,9,bzgr1ypz,1,presurvey,Introduction,1755810617,1,0,0
ks5c9u60,10,13ii9rrd,2,presurvey,Demographics,1755810624,1,0,0
ks5c9u60,13,dbv43qc3,0,,InitializeParticipant,1755810629,1,0,0
ks5c9u60,9,bzgr1ypz,2,presurvey,Demographics,1755810631,1,0,0
ks5c9u60,5,urtjviv1,4,presurvey,Training,1755810633,1,0,0
ks5c9u60,13,dbv43qc3,1,presurvey,Introduction,1755810634,1,0,0
ks5c9u60,7,dxzsu78b,3,presurvey,NeighborhoodInstruction,1755810637,1,0,0
ks5c9u60,13,dbv43qc3,2,presurvey,Demographics,1755810639,1,0,0
ks5c9u60,8,j7jie53r,3,presurvey,NeighborhoodInstruction,1755810651,1,0,0
ks5c9u60,10,13ii9rrd,3,presurvey,NeighborhoodInstruction,1755810652,1,0,0
ks5c9u60,13,dbv43qc3,3,presurvey,NeighborhoodInstruction,1755810652,1,0,0
ks5c9u60,5,urtjviv1,5,presurvey,TrainingNeighbor_1,1755810667,1,0,0
ks5c9u60,7,dxzsu78b,4,presurvey,Training,1755810670,1,0,0
ks5c9u60,14,3wa30p90,0,,InitializeParticipant,1755810670,1,0,0
ks5c9u60,13,dbv43qc3,4,presurvey,Training,1755810672,1,0,0
ks5c9u60,15,ue024lfv,0,,InitializeParticipant,1755810673,1,0,0
ks5c9u60,5,urtjviv1,9,presurvey,ExperimentInstruction,1755810674,1,0,0
ks5c9u60,16,jbvk433x,0,,InitializeParticipant,1755810675,1,0,0
ks5c9u60,9,bzgr1ypz,3,presurvey,NeighborhoodInstruction,1755810677,1,0,0
ks5c9u60,16,jbvk433x,1,presurvey,Introduction,1755810683,1,0,0
ks5c9u60,10,13ii9rrd,4,presurvey,Training,1755810683,1,0,0
ks5c9u60,17,zhxyvfhu,0,,InitializeParticipant,1755810686,1,0,0
ks5c9u60,13,dbv43qc3,5,presurvey,TrainingNeighbor_1,1755810686,1,0,0
ks5c9u60,8,j7jie53r,4,presurvey,Training,1755810686,1,0,0
ks5c9u60,16,jbvk433x,2,presurvey,Demographics,1755810690,1,0,0
ks5c9u60,17,zhxyvfhu,1,presurvey,Introduction,1755810691,1,0,0
ks5c9u60,13,dbv43qc3,9,presurvey,ExperimentInstruction,1755810697,1,0,0
ks5c9u60,18,f3uh8uub,0,,InitializeParticipant,1755810698,1,0,0
ks5c9u60,5,urtjviv1,10,presurvey,Scenario,1755810700,1,0,0
ks5c9u60,7,dxzsu78b,5,presurvey,TrainingNeighbor_1,1755810702,1,0,0
ks5c9u60,17,zhxyvfhu,2,presurvey,Demographics,1755810710,1,0,0
ks5c9u60,16,jbvk433x,3,presurvey,NeighborhoodInstruction,1755810711,1,0,0
ks5c9u60,7,dxzsu78b,6,presurvey,TrainingNeighbor_2,1755810712,1,0,0
ks5c9u60,9,bzgr1ypz,4,presurvey,Training,1755810718,1,0,0
ks5c9u60,13,dbv43qc3,10,presurvey,Scenario,1755810719,1,0,0
ks5c9u60,8,j7jie53r,5,presurvey,TrainingNeighbor_1,1755810721,1,0,0
ks5c9u60,7,dxzsu78b,9,presurvey,ExperimentInstruction,1755810726,1,0,0
ks5c9u60,18,f3uh8uub,1,presurvey,Introduction,1755810727,1,0,0
ks5c9u60,10,13ii9rrd,5,presurvey,TrainingNeighbor_1,1755810729,1,0,0
ks5c9u60,16,jbvk433x,4,presurvey,Training,1755810731,1,0,0
ks5c9u60,10,13ii9rrd,6,presurvey,TrainingNeighbor_2,1755810734,1,0,0
ks5c9u60,19,yobf29zm,0,,InitializeParticipant,1755810738,1,0,0
ks5c9u60,17,zhxyvfhu,3,presurvey,NeighborhoodInstruction,1755810740,1,0,0
