session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
pfu1qwfx,1,b9f5yn5e,0,,InitializeParticipant,1753286641,1,0,0
pfu1qwfx,1,b9f5yn5e,1,presurvey,Introduction,1753286656,1,0,0
pfu1qwfx,1,b9f5yn5e,2,presurvey,Demographics,1753286665,1,0,0
pfu1qwfx,2,c1i1bc8n,0,,InitializeParticipant,1753286680,1,0,0
pfu1qwfx,2,c1i1bc8n,1,presurvey,Introduction,1753286686,1,0,0
pfu1qwfx,2,c1i1bc8n,2,presurvey,Demographics,1753286697,1,0,0
pfu1qwfx,1,b9f5yn5e,3,presurvey,NeighborhoodInstruction,1753286703,1,0,0
pfu1qwfx,3,kfziruzq,0,,InitializeParticipant,1753286724,1,0,0
pfu1qwfx,3,kfziruzq,1,presurvey,Introduction,1753286730,1,0,0
pfu1qwfx,1,b9f5yn5e,4,presurvey,Training,1753286731,1,0,0
pfu1qwfx,3,kfziruzq,2,presurvey,Demographics,1753286738,1,0,0
pfu1qwfx,3,kfziruzq,3,presurvey,NeighborhoodInstruction,1753286754,1,0,0
pfu1qwfx,2,c1i1bc8n,3,presurvey,NeighborhoodInstruction,1753286760,1,0,0
pfu1qwfx,3,kfziruzq,4,presurvey,Training,1753286772,1,0,0
pfu1qwfx,3,kfziruzq,5,presurvey,TrainingNeighbor_1,1753286788,1,0,0
pfu1qwfx,3,kfziruzq,9,presurvey,ExperimentInstruction,1753286794,1,0,0
pfu1qwfx,1,b9f5yn5e,5,presurvey,TrainingNeighbor_1,1753286803,1,0,0
pfu1qwfx,2,c1i1bc8n,4,presurvey,Training,1753286804,1,0,0
pfu1qwfx,3,kfziruzq,10,presurvey,Scenario,1753286815,1,0,0
pfu1qwfx,4,wvgo0dnl,0,,InitializeParticipant,1753286841,1,0,0
pfu1qwfx,3,kfziruzq,20,presurvey,Scenario,1753286848,2,0,0
pfu1qwfx,2,c1i1bc8n,5,presurvey,TrainingNeighbor_1,1753286850,1,0,0
pfu1qwfx,1,b9f5yn5e,6,presurvey,TrainingNeighbor_2,1753286852,1,0,0
pfu1qwfx,2,c1i1bc8n,6,presurvey,TrainingNeighbor_2,1753286856,1,0,0
pfu1qwfx,4,wvgo0dnl,1,presurvey,Introduction,1753286869,1,0,0
pfu1qwfx,2,c1i1bc8n,7,presurvey,AttentionCheck,1753286872,1,0,0
pfu1qwfx,1,b9f5yn5e,7,presurvey,AttentionCheck,1753286872,1,0,0
pfu1qwfx,5,3rg84scm,0,,InitializeParticipant,1753286874,1,0,0
pfu1qwfx,6,vp8ek4id,0,,InitializeParticipant,1753286876,1,0,0
pfu1qwfx,3,kfziruzq,30,presurvey,Scenario,1753286877,3,0,0
pfu1qwfx,6,vp8ek4id,1,presurvey,Introduction,1753286885,1,0,0
pfu1qwfx,7,e76o2u3r,0,,InitializeParticipant,1753286886,1,0,0
pfu1qwfx,8,1tz0xqjm,0,,InitializeParticipant,1753286888,1,0,0
pfu1qwfx,4,wvgo0dnl,2,presurvey,Demographics,1753286890,1,0,0
pfu1qwfx,8,1tz0xqjm,1,presurvey,Introduction,1753286892,1,0,0
pfu1qwfx,3,kfziruzq,31,mock,GroupingWaitPage,1753286897,1,1,0
pfu1qwfx,6,vp8ek4id,2,presurvey,Demographics,1753286899,1,0,0
pfu1qwfx,3,kfziruzq,32,mock,DiscussionGRPWaitPage,1753286903,1,1,0
pfu1qwfx,8,1tz0xqjm,2,presurvey,Demographics,1753286907,1,0,0
pfu1qwfx,5,3rg84scm,1,presurvey,Introduction,1753286907,1,0,0
pfu1qwfx,3,kfziruzq,34,mock,Discussion,1753286911,1,0,0
pfu1qwfx,2,c1i1bc8n,8,presurvey,TrainingNeighbor_3,1753286912,1,0,0
pfu1qwfx,9,gvjieukk,0,,InitializeParticipant,1753286913,1,0,0
pfu1qwfx,10,dsfnf6zj,0,,InitializeParticipant,1753286915,1,0,0
pfu1qwfx,5,3rg84scm,2,presurvey,Demographics,1753286915,1,0,0
pfu1qwfx,3,kfziruzq,36,mock,DiscussionGRPWaitPage,1753286916,2,1,0
pfu1qwfx,9,gvjieukk,1,presurvey,Introduction,1753286919,1,0,0
pfu1qwfx,3,kfziruzq,38,mock,Discussion,1753286921,2,0,0
pfu1qwfx,2,c1i1bc8n,9,presurvey,ExperimentInstruction,1753286923,1,0,0
