participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
04psjg1z,1,s2_n,0.0,C_n,"0, 0, 0",Non-Neutral,-1.0,1.0
04psjg1z,2,s2_n,0.0,C_n,"0, 1, 0",Non-Neutral,0.0,0.0
04psjg1z,3,s2_n,-1.0,C_n,"0, -1, -1",Non-Neutral,-1.0,1.0
04psjg1z,4,s2_n,1.0,C_n,"1, -1, 0",Non-Neutral,2.0,2.0
04psjg1z,5,s2_n,1.0,C_n,"1, 1, -1",Non-Neutral,0.0,0.0
04psjg1z,6,s2_n,1.0,C_n,"1, 1, 1",Non-Neutral,0.0,0.0
04psjg1z,7,s2_n,1.0,C_n,"1, 1, 0",Non-Neutral,0.0,0.0
04psjg1z,8,s2_n,0.0,C_n,"0, 0, -1",Non-Neutral,-1.0,1.0
04psjg1z,9,s2_n,-1.0,C_n,"-1, -1, 1",Non-Neutral,-1.0,1.0
04psjg1z,10,s2_n,-1.0,C_n,"-1, -1, -1",Non-Neutral,0.0,0.0
09389l9u,1,s2_p,0.0,NO_p,"1, 0, 1",Non-Neutral,-1.0,1.0
09389l9u,2,s2_p,1.0,NO_p,"-1, -1, 1",Non-Neutral,1.0,1.0
09389l9u,3,s2_p,1.0,NO_p,"-1, -1, -1",Non-Neutral,0.0,0.0
09389l9u,4,s2_p,1.0,NO_p,"0, 0, 0",Non-Neutral,0.0,0.0
09389l9u,5,s2_p,1.0,NO_p,"-1, 1, 1",Non-Neutral,0.0,0.0
09389l9u,6,s2_p,1.0,NO_p,"0, 0, -1",Non-Neutral,0.0,0.0
09389l9u,7,s2_p,1.0,NO_p,"1, 0, 0",Non-Neutral,0.0,0.0
09389l9u,8,s2_p,1.0,NO_p,"1, 0, -1",Non-Neutral,0.0,0.0
09389l9u,9,s2_p,1.0,NO_p,"-1, -1, 0",Non-Neutral,0.0,0.0
09389l9u,10,s2_p,1.0,NO_p,"1, 1, 1",Non-Neutral,0.0,0.0
0qh8cd3h,1,s2_p,1.0,NO_p,"-1, -1, 0",Non-Neutral,0.0,0.0
0qh8cd3h,2,s2_p,1.0,NO_p,"0, 0, 0",Non-Neutral,0.0,0.0
0qh8cd3h,3,s2_p,1.0,NO_p,"-1, -1, -1",Non-Neutral,0.0,0.0
0qh8cd3h,4,s2_p,1.0,NO_p,"1, -1, 1",Non-Neutral,0.0,0.0
0qh8cd3h,5,s2_p,1.0,NO_p,"1, 0, 1",Non-Neutral,0.0,0.0
0qh8cd3h,6,s2_p,1.0,NO_p,"0, 0, -1",Non-Neutral,0.0,0.0
0qh8cd3h,7,s2_p,1.0,NO_p,"-1, 1, 0",Non-Neutral,0.0,0.0
0qh8cd3h,8,s2_p,1.0,NO_p,"-1, -1, 1",Non-Neutral,0.0,0.0
0qh8cd3h,9,s2_p,1.0,NO_p,"1, 0, 0",Non-Neutral,0.0,0.0
0qh8cd3h,10,s2_p,1.0,NO_p,"1, 1, 1",Non-Neutral,0.0,0.0
0qqekewj,1,s4_p,1.0,AC_p,"0, 1, 1",Non-Neutral,0.0,0.0
0qqekewj,2,s4_p,1.0,AC_p,"-1, 1, 1",Non-Neutral,0.0,0.0
0qqekewj,3,s4_p,1.0,AC_p,"1, 0, 0",Non-Neutral,0.0,0.0
0qqekewj,4,s4_p,1.0,AC_p,"1, 1, 1",Non-Neutral,0.0,0.0
0qqekewj,5,s4_p,0.0,AC_p,"-1, -1, -1",Non-Neutral,-1.0,1.0
0qqekewj,6,s4_p,1.0,AC_p,"-1, 0, 0",Non-Neutral,1.0,1.0
0qqekewj,7,s4_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
